id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
8b407ef0-cdfa-4247-9100-44cd99af2e3f,onthebrinkof.miami,available,23.49,23.49,medium,low,15,namesilo,,
2b8bd564-9c07-453b-8541-fc1987733481,concealed.miami,available,22.99,27.99,medium,low,9,name.com,,
294c5f3c-a993-4c90-9d39-8afc9d127d3b,suffer.miami,premium,47.2,21.24,medium,low,6,namesilo,,
eaf143fc-c163-4a1d-9df5-c2295052913c,familiar.miami,premium,47.2,21.24,high,low,8,namesilo,,
941114be-2cdf-4c9e-9a6a-cb9aba58c39b,cleared.miami,available,22.99,27.99,high,low,7,name.com,,
2670d379-33f5-486b-adab-7cc972ab7371,practiced.miami,available,22.99,27.99,high,low,9,name.com,,
fa9601ef-bb36-41ca-b3d0-9abd98d68047,addictive.miami,available,22.99,27.99,high,low,9,name.com,,
13cc531f-8d0e-4aca-a4b5-bb4e83117f79,stuff.miami,available,,,high,low,5,,,
ca0409e0-84ab-4eb3-980f-6e28aea52163,penetration.miami,available,30.98,,low,low,11,namecheap,,
933b43e6-51b3-4dfd-8d56-d18b9cb24bc5,centesimal.miami,available,23.49,23.49,low,low,10,namesilo,,
d1742347-1f84-461a-bc26-8452da91d9b1,dendroid.miami,available,,,high,low,8,,,
4df99dd6-8511-4bbd-a5a7-e5918677c0ba,anestric.miami,available,23.49,23.49,low,low,8,namesilo,,
51d43e9a-f833-4ff1-9a93-4fe0d4fc51c4,howoldareyou.miami,available,23.49,23.49,medium,low,15,namesilo,,
7d0353e7-6d6d-49b8-8acf-38e17d28197a,permutation.miami,available,30.98,,low,low,11,namecheap,,
2834fbaf-d15a-4001-bb57-ef68dc307047,mount.miami,available,23.49,23.49,medium,low,5,namesilo,,
2cbf7c71-2064-4f05-92d7-3e49046aa7f2,precipitous.miami,available,23.49,23.49,low,low,11,namesilo,,
060429dc-f6a6-4811-91b7-81be58a04ac3,rushing.miami,available,30.98,,medium,low,7,namecheap,,
f0f2a2db-9a43-4c5f-a722-841c6d117eae,undoubtedly.miami,available,23.49,23.49,medium,low,11,namesilo,,
0fa72e7e-8ba3-469b-a1d7-6eaf8b1f2f82,giveinto.miami,available,23.49,23.49,medium,low,9,namesilo,,
fb01ce07-f7c6-4339-8d29-166916f6c9c0,inshortpants.miami,available,30.98,,medium,low,14,namecheap,,
5e7d90b2-b6cd-4be7-865c-799920c3cdd1,shelf.miami,available,23.49,23.49,high,low,5,namesilo,,
308a3e7e-1823-49ba-a53c-927deb45a18b,bakinghot.miami,available,,,medium,low,10,,,
899617e4-0274-432f-8d26-e4cb305ec2af,albinistic.miami,available,23.49,23.49,low,low,10,namesilo,,
66493b9b-d540-4bb0-8d5d-841961eec84c,LongIsland.miami,premium,50,,medium,low,11,name.com,,
361c1fb9-9f0b-4e75-8db1-554cb3c8632c,astimesgo.miami,available,30.98,,medium,low,11,namecheap,,
82605aa7-7981-4ec0-83eb-87609a344f42,contend.miami,available,23.49,23.49,high,low,7,namesilo,,
5470165b-a15c-4ca9-9033-ed3cf237f0f2,valued.miami,available,23.49,23.49,high,low,6,namesilo,,
03b13766-a24f-44f7-b701-48f8ee5e24e4,operahouse.miami,available,23.49,23.49,high,low,11,namesilo,,
269e7c0d-5e08-4ec1-94ff-de507e6eefff,ataractic.miami,available,,,medium,low,9,,,
a1dae6aa-99dc-4501-a6f9-a84242b52693,oversee.miami,available,23.49,23.49,high,low,7,namesilo,,
e559d16f-6b40-416f-a9e4-39993e073ecb,stop.miami,premium,47.2,21.24,high,low,4,namesilo,,
e4001b3a-d57d-493a-b280-51b9b0045347,visiting.miami,premium,2500,,medium,low,8,name.com,,
f0d92998-fe93-4907-896b-8e779b155e95,area.miami,premium,96,21.24,high,low,4,namesilo,,
d718aeb6-95b5-4f6a-b5d0-abb0e9e7b2b7,asthesayinggoes.miami,available,23.49,23.49,medium,low,18,namesilo,,
6f1076ed-7656-4f77-9af6-7b7eb804d8b9,maddened.miami,available,23.49,23.49,low,low,8,namesilo,,
6f261e52-b7e7-491c-af1d-4a1163f89f3d,succeed.miami,premium,47.2,21.24,high,low,7,namesilo,,
03e6ab3b-eab8-42d3-b499-c6d627ba5769,bust.miami,premium,96,21.24,high,low,4,namesilo,,
7e55d640-c9e2-4f21-a3b0-f22fa0e7f81f,spiny.miami,available,,,high,low,5,,,
8ddb20af-e321-4925-a620-fd3591e55e7d,cotyloidal.miami,available,23.49,23.49,low,low,10,namesilo,,
d42efc99-0823-4b47-8cce-11566812a9c4,dogtoothgrass.miami,available,23.49,23.49,high,low,14,namesilo,,
2d7e73df-b110-4a26-bc8b-e5ef7023f961,departmentstore.miami,available,23.49,23.49,high,low,16,namesilo,,
05f0279d-b931-445e-8385-5bde368fcb48,inlovewith.miami,available,30.98,,medium,low,12,namecheap,,
f864db01-f5c8-45bb-a49a-8d114ca9cfd7,xlvii.miami,available,23.49,23.49,low,low,5,namesilo,,
77e908b4-9102-4e37-9921-8b0598aacaa5,givesomeoneakiss.miami,available,23.49,23.49,medium,low,19,namesilo,,
848f9c9b-14ab-4792-bd00-1ccaa66df742,cunning.miami,available,22.99,27.99,medium,low,7,name.com,,
48358b28-6240-4d17-bc09-1516c55e3c1c,married.miami,premium,242,21.24,high,low,7,namesilo,,
f2e53799-0d06-4c10-8359-f16571522302,inpublic.miami,available,30.98,,medium,low,9,namecheap,,
a395bb6b-5d5b-40f6-8504-ca7b84b3ed12,solongas.miami,available,23.49,23.49,low,low,10,namesilo,,
3cb60baa-5322-49ef-a11e-436a907f2913,desolate.miami,available,,,medium,low,8,,,
ec09d05d-3030-4f37-817a-b0a1af00f310,robotlike.miami,available,,,medium,low,9,,,
37740e57-a913-4f75-ad10-3e8e075f5228,apelike.miami,available,23.49,23.49,low,low,7,namesilo,,
9193011b-a8d0-4f6c-93ba-96832df810ed,ball.miami,premium,47.2,21.24,medium,low,4,namesilo,,
e464e96d-4c1c-4330-844f-fcb9586858d6,wannabe.miami,available,,,medium,low,7,,,
741ef6e6-337c-4c73-a170-e9ce546ffa38,goodasgold.miami,available,23.49,23.49,high,low,12,namesilo,,
17fba1f4-f3a2-4d00-9fcd-b992ea9a72ac,felt.miami,premium,47.2,21.24,high,low,4,namesilo,,
533c82be-6a56-4210-ae28-1ae04b81199d,registered.miami,available,23.49,23.49,medium,low,10,namesilo,,
5db3231d-6de8-4ec9-85aa-64292161a73b,zipfile.miami,available,23.49,23.49,medium,low,8,namesilo,,
8f5a419e-7aa2-472d-b8f4-321c45a9a6bb,erupt.miami,available,23.49,23.49,high,low,5,namesilo,,
633e9896-86fc-4240-9cd5-d8fc6714a86c,associable.miami,available,,,medium,low,10,,,
beed844f-26b6-4d95-b652-0c4ec7945bc7,comeinhot.miami,available,23.49,23.49,high,low,11,namesilo,,
7133b015-4a4f-4063-af71-4ad13a81d866,Pentium.miami,available,23.49,23.49,high,low,7,namesilo,,
699ccb99-3712-4d2a-8169-a401bef7ab56,atyourservice.miami,available,23.49,23.49,high,low,15,namesilo,,
1839c473-c30e-4d56-9865-418d50eca687,threed.miami,available,23.49,23.49,low,low,7,namesilo,,
4bc70fe7-8761-4f63-aab6-8809b432fde8,steal.miami,available,23.49,23.49,high,low,5,namesilo,,
934d9977-029c-435a-8506-d1926f676393,neutral.miami,premium,50,27.99,high,low,7,name.com,,
2296668c-1cc3-4432-a974-db1446406c85,businesstrip.miami,available,23.49,23.49,high,low,13,namesilo,,
bb4c631e-e61b-4798-8eee-fdb8b88d82c3,generalizeddisease.miami,available,23.49,23.49,low,low,19,namesilo,,
071cd028-7d6c-4ff3-ae81-40e67bf02132,become.miami,premium,47.2,21.24,high,low,6,namesilo,,
8089e717-0ce1-4615-b4ba-eba214ef7e25,nan.miami,premium,50,,high,low,3,name.com,,
00e1b7c2-465d-4903-b64d-25072ae72a12,videochat.miami,available,23.49,23.49,medium,low,10,namesilo,,
10ef9c08-60a7-4752-92aa-4e75f42eeb60,setfree.miami,available,23.49,23.49,medium,low,8,namesilo,,
6eb3fdd0-546e-406e-9167-0fecef298a94,touchdown.miami,available,23.49,23.49,medium,low,10,namesilo,,
c983dcd8-efbe-46bd-9783-f0714e892faa,briery.miami,available,,,medium,low,6,,,
